id,name,end_page,section_id,level_id,created_at,updated_at,writer,publisher,start_page,link,brief,language_id,type_id
12,مميز بالأصفر,233,1,1,11/28/2022 2:09,4/20/2023 17:53,إتش. جاكسون براون، الابن.,مكتبة جرير,1,https://www.osboha180.com/rack/bookDesc?id=16,"عن الكتاب : يمتعنا ""إتش. جاكسون براون"" فى كتابه ""مميز بالأصفر"" بمجموعة من القصص والاقتباسات التى تدل على فهم عميق لأسس الحياة الطيبة، فهذا الكتاب يعد مقرراً تعليمياً مختصراً فى كيفية العيش بحكمة والاختيار بذكاء، يسلط فيه الكاتب الضوء على أهمية التصرف بلطف وكرم وإحسان مع الآخرين، وتوطيد علاقات قوية راسخة مع الأشخاص الذين نحبهم، واختيار توجهات ذهنية تساعدنا أثناء عيش ساعات الحياة اليومية العادية، واكتشاف معنى الرضا والإشباع النابعين من تقدير المتع البسيطة والاستمتاع بها.",1,1
13,الدولة الحديثة المسلمة,458,7,2,11/28/2022 2:09,4/15/2023 20:22,علي الصلابي,دار المعرفة,1,https://www.osboha180.com/evaluation/books/315.pdf,يحاول الدكتور علي الصلابي في كتابه الجديد “الدولة الحديثة المسلمة دعائمها ووظائفها” عرض فكرة الدولة المدنية الإسلامية وإثبات إمكانية تحقيقها في عصرنا الحاضر، ذلك أن السياسة الصالحة للبشر ـــ بحسب وصفه ـــ تحتاج إلى أن تضبطها قيم الدين وقواعد الأخلاق وتلتزم بمعايير الخير والشر وموازين الحق والباطل. وهي قناعة جاءت انطلاقا من أن الإسلام جاء بتنظيم شامل لأمور الدين والدنيا معاً بخلاف المسيحية ؛ التي فصلت بين الدين والدولة فجعلت الدين من اختصاص الكنيسة والدنيا من اختصاص الدولة. والعمل الذي بين أيدينا وصفه صاحبه بأنه “محاولة جادة للاستجابة للتغييرات الكبرى التي تمر بها شعوبنا مع اندلاع ثورات الربيع العربي، فالشعوب لديها مطالب وتسعى لتُحقِق أهدافاً ومبادئ أعلنتها، كالحرية والعدالة والمساواة والشورى، ومحاربة الفساد، والتعددية والتداول السلمي”.,1,1
15,البرلمان في الدولة الحديثة,275,7,2,11/28/2022 2:09,4/15/2023 18:31,علي الصلابي,دار المعرفة,1,https://www.osboha180.com/evaluation/books/317.pdf,يتناول هذا الكتاب تعريف البرلمان نشأته والتطورات التاريخية - الفصل بين السلطات - الانتخابات البرلمانية - وظائف البرلمان - الضمانات وتحكي الأكثرية - الحقوق السياسية لغير المسلمين - ترشح المرأة للبرلمان. إن هذا المجهود المتوضع قابل للنقد والتوجيه، وما هي إلا محاولة متواضعة هدفها مـعرفة حقيقة البرلمان والجمع بين التجربة الإنسانية البرلمانية والتاريخ الإسلامي المشرق ومقاصد الإسلام العظيمة والدفع لتقديم تصور عملي عن الفكر السياسي من منطلق إسلامي يلائم المرحلة الجدية التي تمر بها الأمة، وهو يندرج تحت قول النبي صلى الله عليه وسلم: «أنتم أعلم بأمر دُنياكُم». ولقد صدر للمؤلف عدة كتب تخدم هذا التوجه : 1. ـ الشورى فريضة إسلامية. 2. ـ الحريات من القرآن الكريم. 3. ـ العدالة والمصالحة الوطنية ضرورة دينية وإنسانية. 4. ـ الدولة الحديثة المسلمة دعائمها ووظائفها.,1,1
16,التداول على السلطة التنفيذية,236,7,2,11/28/2022 2:09,4/15/2023 18:25,علي الصلابي,دار المعرفة,1,https://www.osboha180.com/evaluation/books/318.pdf,"إنَّ عهد الخلافة الراشدة يعتبر مرجعية كبرى في الفقه السياسي وبناء الدول وازدهار الحضارات، لأنه يقدّم لنا السوابق التاريخية التي تعدُّ حجة في فقه ""الرئاسة"" المنضبطة بمقاصد القرآن الكريم والسنة النبوية .. من هنا جاءت أهمية كتاب "" التداول على السلطة التنفيذية "" للدكتور علي الصلابي، الذي يقدّم رؤية تحليلية لموضوع التداول على الحكم بعد وفاة الرّسول عليه الصلاة والسلام. هذا الكتاب يهدف إلى معرفة حقيقة التداول على السلطة التنفيذية في تاريخنا، وموقف الفكر السياسي الإسلامي من أنواع التداول وفق مقاصد الشريعة الإسلامية، وتقديم روح الشورى الحقيقية التي تحتاجها الشعوب المعاصرة بأسلوب عصري، يتابع التغيرات الجوهرية بعد ثورات الربيع في أنظمة الحكم.. مع الكتاب: يعدُّ هذا الكتاب حلقة مهمة من حلقات المشروع الفكري السياسي، حيث يتناول موضوع التداول على الحكم بعد وفاة الرسول صلى الله عليه وسلم وانتقال الرئاسة لأبي بكر الصّدِّيق بالشورى وصولاً إلى الخلفاء الراشدين من بعده. ويذكر بالتحليل مراحل التداول على السلطة وصولاً لبيعة عبد الملك بن مروان. وأورد الكاتب تعريفات اصطلاحية للسلطة التنفيذية منها قوله : "" عرّف الفقهاء المعاصرون السلطة التنفيذية بتعريفات توضح وظيفتها وتكوينها العنصري، فقال بعضهم : "" سلطة التنفيذ هي السلطة المختصة في تنفيذ الشريعة ، وهي التي تعمل على تيسير المرافق العامة وانتظامها بحيث تكفل إشباع حاجات المسلمين ""، ومنها قوله : "" وقال بعضهم : "" السلطة التنفيذية كما تبيّن من اسمها هي السلطة المنوط بها تنفيذ القوانين التي تضعها السلطة التشريعية"".",1,1
17,العدالة والمصالحة الوطنية,221,7,2,11/28/2022 2:09,4/15/2023 20:20,علي الصلابي,//,1,https://www.osboha180.com/evaluation/books/319.pdf,يجب أن يحافظ على الحريات العامة وذلك بمراعاة أحكام الشريعة الإسلامية، والمواثيق والمعاهدات الدولية للحقوق والحريات، والقيم والعادات والتقاليد الليبية الأصيلة. وهذا لا يمكن بدون عدالة ومصالحة وطنية لتجاوز مرحلة الحرب والآثار التي تركتها، إن تحقيق العدالة والمصالحة الوطنية فريضة شرعية وضرورة دينية والثورات التي تنجح في تحقيق المصالحة الوطنية ستحقق أهدافها والتي تفشل تعجز عن الوصول إليها.,1,1
18,كيف نختلف,226,4,2,11/28/2022 2:09,4/18/2023 18:24,سلمان العودة,مؤسسة الإسلام اليوم,1,https://www.osboha180.com/evaluation/books/320.pdf,"كيف نختلف ، هذا الكتاب نحن الان فى أمس الحاجة إليه خصوصاً فى زمننا هذا الذى قد تكون انعدمت فيه ثقافة الاختلاف مع أن الاختلاف سنه ربانية ،إلا أن الناس يضيقون به ذرعاً ويتساءلون: إلى متى يظل هذا الاختلاف قائما؟ ومتى نتفق؟ والجواب : إن الخلاف باقى إلى أن يرث الله الارض ومن عليها ، فلا تحلم بأن يتفق الناس على كل شىء ، وبقاء الخلاف ينطوى على مقصد ربانى بالغ الحكمة ، وكم تكون الأشياء مملة وعديمة الفائدة حين تتماثل ، ولذا قال سبحانه: ""وَلَوْ شَاءَ رَبُّكَ لَجَعَلَ النَّاسَ أُمَّةً وَاحِدَةً وَلا يَزَالُونَ مُخْتَلِفِينَ (118) إِلا مَنْ رَحِمَ رَبُّكَ"" فهو من حيث القدر واقع ووقوعه متصل بطبيعة خلق الناس على صفة التنوع",1,1
19,السماء في القرآن الكريم,610,8,2,11/28/2022 2:09,4/15/2023 2:45,زغلول راغب النجار,دار المعرفة,1,https://www.osboha180.com/rack/bookDesc?id=25,"يقدم ""الدكتور زغلول النجار"" فى كتابه ""السماء فى القرآن"" مجموعة من الحقائق العلمية الدقيقة التى تتعلق بالسماء وبمجراتها وكواكبها من خلال تفسيره العلمى لبعض الآيات القرآنية ، والكثير من تلك الحقائق العلمية قد تم اكتشافها بالفعل فى العصر الحديث ، والدكتور زغلول النجار فى هذا الكتاب يفسر الآيات ويحدد معانيها بمنهجية علمية دقيقة ومرفقة برسوم توضيحية تبين وبدقة شديدة ما كشفت عنه تلك الآيات من معانى وما وصل إليه علماء الغرب من اكتشافات حديثة تثبت صدق القرآن.",1,1
20,الأرض في القرآن الكريم,640,8,2,11/28/2022 2:09,4/15/2023 2:44,زغلول راغب النجار,دار المعرفة -بيروت لبنان-,1,https://www.osboha180.com/rack/bookDesc?id=26,"الأصل فى القرآن الكريم أنه كتاب هداية فى أمر الدين بركائزه الأربع الأساسية: العقيدة ، والعبادة ، والأخلاق ، والمعاملات ، ولكى يقيم الله - سبحانه وتعالى - الحجة على من اغتر بالتطور والتقدم العلمى الموجود فى هذا العصر ونسى الله القادر على كل شيء أبقى لنا من محكم القرآن أكثر من ألف آية كونية صريحة بالإضافة إلى آيات أخرى عديدة تقترب دلالتها من الصراحة ، وهذه الإشارات الكونية قد صيغت صياغة مجملة معجزة يفهم منها أهل كل عصر معنى من المعانى يتناسب مع ما توفر لهم من علم بالكون ومكوناته ، وتظل هذه المعانى تتسع باتساع دائرة المعرفة الإنسانية فى تكامل لا يعرف التضاد. ويمثل هذا الكتاب ""الأرض فى القرآن الكريم"" بضعاً وثلاثين مقالاً للدكتور زغلول النجار جمع فيها الحقائق العلمية التى تتعلق بالأرض من خلال تفسيره العلمى لبعض آيات القرآن الكريم.",1,1
21,الحيوان في القرآن الكريم,509,8,2,11/28/2022 2:09,4/15/2023 2:45,د. زغلول راغب النجار,دار المعرفة,1,https://www.osboha180.com/rack/bookDesc?id=27,"يتعرف علماء الأحياء اليوم على أكثر من مليون ونصف مليون نوع من أنواع الأحياء التي تعمر مختلف البيئات المائية والأرضية والهوائية. وبالإضافة إلي ذلك تعرف علماء الأحافير على أكثر من ربع مليون نوع من أنواع الحياة البائدة، وبمعدلات الاكتشافات السنوية في هذين الميدانين يقدر العلماء أن المجموع المتوقع لأنواع الأحياء على كوكبنا الأرض قد يصل إلي نحو أربعة ملايين ونصف مليون نوع. ولما كان كل نوع من هذه الأنواع يمثل بلايين الأفراد المتزامنين والمتعاقبين- حيث أن المدى الزمني لكل نوع من أنواع الحياة يتراوح بين نصف مليون سنة وخمسة ملايين من السنين، وإن أقدم أثر للحياة على الأرض يمتد إلي ثلاثة بلايين وثمانمائة مليون سنة – فإنه يصبح من العسير تتبع كل فرد من هذه البلايين من ملايين الأنواع. ومن هنا كانت ضرورة التصنيف الذي أشارت إليه سورة الأنعام بقول الحق تبارك وتعالى-:""وَمَا مِن دَابَّةٍ فِي الأَرْضِ وَلاَ طَائِرٍ يَطِيرُ بِجَنَاحَيْهِ إِلاَّ أُمَمٌ أَمْثَالُكُم مَّا فَرَّطْنَا فِي الكِتَابِ مِن شَيْءٍ ثُمَّ إِلَى رَبِّهِمْ يُحْشَرُونَ"" (الأنعام:38)",1,1
22,عبقرية محمد صلى الله عليه وسلم,161,9,1,11/28/2022 2:09,4/17/2023 15:02,عباس محمود العقاد,المكتبة العصرية للطباعة والنشر,1,https://www.osboha180.com/rack/bookDesc?id=28,في مثل هذه الكتابات، يبرز الكاتب ذو الطراز النادر وتظهر الموهبة الحقيقية رغم معرفتي بكثير من الأفكار و الأحداث التي ذكرها في الكتاب، إلا أن هناك شيء ما يأسرك في أسلوب العقاد الرائع ولغته الجميلة القوية يجعلك كأنك تقرأها، وتحس بها لأول مرة . يتحدث الكتاب من جوانب عدة عن عبقرية الرسول عليه الصلاة والسلام الإنسانية؛ يتحدث عن محمد الرجل، محمد السيد، محمد الزوج، محمد القائد، محمد البليغ وغيرها الكثير وتصدى بشكل مفصل أكثر عن الجوانب المثيرة للجدل ..,1,1
23,عصر العلم,280,2,3,11/28/2022 2:09,4/19/2023 19:38,احمد زويل,دار الشروق,1,https://www.osboha180.com/evaluation/books/325.pdf,"إنّ ما يجري يتطلّب منّا وقفة تاريخيّة، كيف وصلنا إلى هذه الدّرجة من التطوّر؟ وما هي طريقة الوصول إليها؟ وما الذى يحمله المستقبل من جديد .. للنّاجحين والخاملين؟ تلك بعض التساؤلات التي شغلت تفكير ""أحمد زويل"" فاجتهد للإجابة عليها في هذا الكتاب، بعد حصوله على جائزة نوبل عام ۱۹۹۹م.
وتحفل سطور هذا الكتاب بثراء نادر، فلدى القارئ حياة خصبة يحياها مع صاحبها، ولديه عرض مميّز للحياة الرّيفيّة ولمكانة الجامعة في المجتمع المصريّ، ولديه -ثالثًا- رواية بالغة السّحر تتوزّع فصولها فى مواطن ثلاثة داخل الولايات المتّحدة، ما بين بنسلفانيا وبيركلي وكالتك، ولديه -رابعًا- رصد دقيق لخريطة العلم في النّصف الثّاني من القرن العشرين، ولديه -خامسًا- اِستعراض جليل لمقامات العلماء الذين أثروا الحياة الإنسانيّة وأناروا القرن العشرين بما علموا وعملوا، ولديه -سادسًا- من لطائف الحياة وطرائف الأشياء ما يمثّل زاداً رقيقًا يصحب القارئ وهو يكمل مسيرة التّفكّر والتدبّر، ولديه -سابعًا- من بعد السّيرة خمسة فصول شائقة ما بين محاضرة ومقال وحوار وفيها حديث خصب عن العالم الذي نحيا، وعن العالم الذي نأمل، وعن العلم الذي بمقدوره أن ينقل الواقع الذي يحمل الكثير من البؤس إلى المستقبل الذي يحمل الكثير من الرّجاء. وفي قولة واحدة .. فإنّنا إزاء عمل كلاسيكيّ مجيد، سوف يبقى لأجيال وأجيال؛ سيكون معينًا للقائمين على الحاضر، وسيكون عونًا للسّائرين إلى المستقبل.",1,1
